Id,Name,X,Y,Caption,URL
0,归元寺,114.2670060000,30.5509310000,归元禅寺属于佛教禅宗五家七宗之一的曹洞宗，故称归元禅寺。归元禅寺又被称为“汉西一境”，是因其古树参天，花木繁茂的人文境致而得。同时还是武汉市佛教协会的所在地。它与宝通寺、溪莲寺、正觉寺合称为武汉的四大丛林。,"https://ss3.bdstatic.com/70cFv8Sh_Q1YnxGkpoWK1HF6hhy/it/u=1223057626,376567403&fm=26&gp=0.jpg"
0,古琴台,114.2810590000,30.5609700000,古琴台（GuQinTai）又名俞伯牙台，始建于北宋，重建于清嘉庆初年（公元1796年），位于湖北省武汉市汉阳区龟山西脚下的月湖之滨，东对龟山、北临月湖，是中国音乐文化古迹、国家AAA级景区、湖北省重点文物保护单位、武汉市文物旅游景观之一，与黄鹤楼、晴川阁并称武汉三大名胜，有“天下知音第一台”之称。,https://timgsa.baidu.com/timg?image&quality=80&size=b9999_10000&sec=1559559036476&di=3111d85e6a7426265e0ab332389da139&imgtype=0&
0,南桥,114.4326720000,30.0251090000,南桥位于江夏区贺站镇大屋饶村的南桥港上，是武汉市现存最早的一座古桥，1989年被列为湖北省文物保护单位。这座石拱桥的桥拱呈半圆形，影映水中，虚实相连，如一轮明月。,https://timgsa.baidu.com/timg?image&quality=80&size=b9999_10000&sec=1559559255160&di=1162c75a826bbde75ab7a12c2d0d89d0&imgtype=0&src=http%3A%2F%2Fimg.mp.itc.cn%2Fupload%2F20160406%2F1c86e7e7923447a98e36f00c854c28e9.jpg
0,双凤亭,114.3646440000,30.9852860000,双凤亭位于武汉市黄陂区鲁台镇鲁台山顶。为纪念宋代著名理学家程颢、程颐而建。原建于城内，明天顺七年(1463)复建于鲁台山麓二程祠，清康熙五年(1666)移建于今址，道光二十三年（1843）毁于风暴，二十八年(1848)修葺。六角三层攒尖顶，高10米，底边长3.3米。木石结构，檐下施斗拱。亭中央石砌方柱，四面嵌碑记，额刻双凤朝阳和人物故事图案。1962年郭沫若同志书“双凤亭”匾悬挂亭上。1984年维修。（第三批）,"https://ss0.bdstatic.com/70cFuHSh_Q1YnxGkpoWK1HF6hhy/it/u=3716785276,2557325632&fm=26&gp=0.jpg"
0,大余湾古民居建筑群,114.3797040000,31.0351230000,"位于武汉市黄陂区木兰乡双泉村大余湾，明、清时期。现存民居40余栋，建筑布局呈向心形。硬山式，穿斗结构，小青瓦屋面,砖石砌体皆使用传统的糯米伴石灰砌筑。该村保存有较好的雕花睡床、钦赐寿匾、“雍正朱批谕旨”木盒、“嘉庆二十二年”石碾等器具。民居周边还保存有大量的明清墓葬。（第四批）","https://ss1.bdstatic.com/70cFvXSh_Q1YnxGkpoWK1HF6hhy/it/u=2050915200,75664681&fm=26&gp=0.jpg"
0,问津书院,114.9028960000,30.8021180000,问津书院因《论语》中孔子周游列国至楚国孔子使“子路问津”于长沮、桀溺典故而得名。书院始建于西汉年间，距今已有二千多年的历史，是孕育元、明、清三朝鄂东文人的摇篮，被称为中国最古老“大学”。,https://timgsa.baidu.com/timg?image&quality=80&size=b9999_10000&sec=1559559790090&di=702fddc36f10e0efdefb8d7cc698bdb5&imgtype=0&src=http%3A%2F%2Fn.sinaimg.cn%2Fhb%2Ftransform%2F116%2Fw550h366%2F20181119%2F6dDj-hmivixn3974366.jpg
0,木兰山古建筑群,114.3849750000,31.1076150000,木兰山古建筑群位于武汉市黄陂区长岭镇木兰山。木兰山古称明山，后易名青狮岭，因“木兰从军”故事更今名。历宋、明、清三代，先后启建七宫八观三十六殿庞大建筑组群。现存玉皇阁、玉皇阁牌坊、金顶牌坊、唐木兰将军坊等。一九二七年底，黄麻起义突围部队在玉皇阁改编为工农革命军第七军。木兰山古建筑作为“木兰”将军的纪念性建筑组群，对于研究“木兰”文化的形成和发展提供了重要实物资料。（第五批）,https://timgsa.baidu.com/timg?image&quality=80&size=b9999_10000&sec=1559559831809&di=654724ea1fc64b5a5dbf2da6e3221614&imgtype=0&src=http%3A%2F%2Fimg.pconline.com.cn%2Fimages%2Fupload%2Fupc%2Ftx%2Fphotoblog%2F1706%2F07%2Fc8%2F49277347_1496831093671_mthumb.jpg
0,洪山宝塔,114.3476260000,30.5373490000,原名灵济塔，始建于元代，明成化年间改名宝通寺塔，清同治年间重修。七层八角楼阁式空心砖塔，塔基边长4.7米，各级诸面均设券门，塔顶径4米，上设铸铜宝刹。塔身自下而上，逐层收分。内有石阶盘旋上至顶层。外壁嵌元代塔记七方。（第一批）,"https://ss2.bdstatic.com/70cFvnSh_Q1YnxGkpoWK1HF6hhy/it/u=195575484,2077444106&fm=26&gp=0.jpg"
0,宝通寺,114.3473700000,30.5382780000,宝通寺位于风景秀丽的武昌洪山南麓，至今已有1600余年历史，具有丰富的佛教文化底蕴和深厚的传统文化内涵，是武汉市唯一的皇家寺院，并且被列为国务院“汉地全国重点佛教寺院”、湖北省重点文物保护单位，是武汉佛教“四大丛林”之一，规模之大、殿堂之宏伟为武昌诸刹之首。,https://timgsa.baidu.com/timg?image&quality=80&size=b9999_10000&sec=1560154741&di=893b1969d4b20ebde44cd2ad3b00dbbb&imgtype=jpg&er=1&src=http%3A%2F%2Fimage.naic.org.cn%2Fuploadfile%2F2018%2F0426%2F1524706720614696.jpg
0,九女墩,114.3895420000,30.5871140000,九女墩位于湖北省武汉市东湖西北岸。相传太平天国占领武昌时不少获得解放的妇女参加起义。后清军反扑，于城郊大肆屠杀，有太平军女兵九人，不为敌威所屈，在此英勇抗击清军，全部壮烈牺牲。乡人将其遗骸合葬于此。时为避清政府迫害，故不称坟而称墩。,"https://ss1.bdstatic.com/70cFvXSh_Q1YnxGkpoWK1HF6hhy/it/u=3811728379,988863094&fm=26&gp=0.jpg"
0,长春观,114.3272520000,30.5460860000,长春观位于武昌大东门东北角双峰山南坡，黄鹄山(蛇山)中部，是我国道教著名十方丛林之一，为历代道教活动场所。称“江南一大福地”。观内崇奉道教全真派，以其创始人重阳祖师门人邱处机道号“长春子”命名。,http://i5.bbs.fd.zol-img.com.cn/t_s1200x5000/g5/M00/00/0C/ChMkJlYGhi6IWQdkAB7enHdL23kAADCpQPA85sAHt60455.jpg
0,楚望台,114.3157850000,30.5313210000,位于武昌梅亭山的楚望台军械库遗址，是武昌首义义军占领的第一个目标。之后，各路起义军集结于此，这里一时成为起义军的大本营。沿山坡攀上山顶，在一处军营的空闲草地上，可以看见一块约2米高的水磨石碑，中部嵌有一块大理石，上刻有“楚望台军械库遗址”，“湖北省人民委员会1956年公布”等字样。展读碑文，历史得以呈现：明洪武14年（1381年），朱桢就藩武昌，为感恩父皇朱元璋封其为楚王，朱桢常在此遥望帝京，故建“楚望台”。,"https://ss1.bdstatic.com/70cFuXSh_Q1YnxGkpoWK1HF6hhy/it/u=1221416463,1303157588&fm=15&gp=0.jpg"
